Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/21/2017
Test time,15:31:19
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,V4
1.296,1.5042E-05,-4.508E-07,0,0.05,-0.2,
1.314,1.5344E-05,1.19E-08,0,0.05,-0.2,
1.332,1.5658E-05,3.774E-07,0,0.05,-0.2,
1.35,1.5958E-05,-4.8866E-07,0,0.05,-0.2,
1.368,1.6282E-05,1.47E-08,0,0.05,-0.2,
1.386,1.6564E-05,3.3214E-07,0,0.05,-0.2,
1.404,1.6876E-05,-4.6882E-07,0,0.05,-0.2,
1.422,1.7172E-05,1.282E-08,0,0.05,-0.2,
1.44,1.7464E-05,2.7366E-07,0,0.05,-0.2,
1.458,1.7748E-05,-3.9488E-07,0,0.05,-0.2,
1.476,1.803E-05,5.5728E-07,0,0.05,-0.2,
1.494,1.8326E-05,4.7978E-07,0,0.05,-0.2,
1.512,1.8582E-05,-1.1094E-07,0,0.05,-0.2,
1.53,1.8852E-05,3.835E-07,0,0.05,-0.2,
1.548,1.9114E-05,-4.6974E-07,0,0.05,-0.2,
1.566,1.9358E-05,1.312E-08,0,0.05,-0.2,
1.584,1.9638E-05,1.682E-07,0,0.05,-0.2,
1.602,1.9888E-05,-3.5638E-07,0,0.05,-0.2,
1.62,2.0124E-05,5.3624E-07,0,0.05,-0.2,
1.638,2.0346E-05,5.5728E-07,0,0.05,-0.2,
1.656,2.0612E-05,-8.75E-08,0,0.05,-0.2,
1.674,2.0862E-05,1.8456E-07,0,0.05,-0.2,
1.692,2.1088E-05,-4.1096E-07,0,0.05,-0.2,
1.71,2.1282E-05,5.4562E-07,0,0.05,-0.2,
1.728,2.1538E-05,-2.532E-08,0,0.05,-0.2,
1.746,2.1766E-05,-3.944E-07,0,0.05,-0.2,
1.764,2.197E-05,5.6328E-07,0,0.05,-0.2,
1.782,2.2178E-05,-2.046E-08,0,0.05,-0.2,
1.8,2.2406E-05,-3.9112E-07,0,0.05,-0.2,
0,-1.228E-09,1.2192E-07,0,0.05,-0.3,
0.018,9.174E-10,-2.098E-08,0,0.05,-0.3,
0.036,1.1338E-09,-3.4208E-07,0,0.05,-0.3,
0.054,-1.1462E-09,-4.7868E-07,0,0.05,-0.3,
0.072,1.2301E-09,5.5776E-07,0,0.05,-0.3,
0.09,-9.19E-10,1.4E-08,0,0.05,-0.3,
0.108,8.629E-10,1.0634E-07,0,0.05,-0.3,
0.126,1.238E-09,-1.4188E-07,0,0.05,-0.3,
0.144,-8.245E-10,1.744E-08,0,0.05,-0.3,
0.162,9.77E-10,3.5446E-07,0,0.05,-0.3,
0.18,1.2695E-09,-3.8612E-07,0,0.05,-0.3,
0.198,-1.0716E-09,-4.8744E-07,0,0.05,-0.3,
0.216,1.459E-09,5.6028E-07,0,0.05,-0.3,
0.234,-4.681E-10,1.322E-08,0,0.05,-0.3,
0.252,1.5661E-09,2.3122E-07,0,0.05,-0.3,
0.27,2.355E-09,-3.7152E-07,0,0.05,-0.3,
0.288,1.0589E-09,1.506E-08,0,0.05,-0.3,
0.306,4.1266E-09,1.8594E-07,0,0.05,-0.3,
0.324,4.5219E-09,-3.3532E-07,0,0.05,-0.3,
0.342,9.8443E-09,3.9114E-07,0,0.05,-0.3,
0.36,1.5883E-08,5.4422E-07,0,0.05,-0.3,
0.378,2.19068E-08,5.5588E-07,0,0.05,-0.3,
0.396,3.68722E-08,5.1076E-07,0,0.05,-0.3,
0.414,5.4195E-08,-2.0558E-07,0,0.05,-0.3,
0.432,7.97048E-08,2.858E-08,0,0.05,-0.3,
0.45,1.1608E-07,-8.1E-08,0,0.05,-0.3,
0.468,1.6456E-07,2.0742E-07,0,0.05,-0.3,
0.486,2.2778E-07,-4.2848E-07,0,0.05,-0.3,
0.504,3.0766E-07,3.8076E-07,0,0.05,-0.3,
0.522,4.0992E-07,2.7398E-07,0,0.05,-0.3,
0.54,5.3632E-07,5.4778E-07,0,0.05,-0.3,
0.558,6.7902E-07,5.383E-07,0,0.05,-0.3,
0.576,8.5828E-07,-4.0098E-07,0,0.05,-0.3,
0.594,1.05378E-06,-5.096E-08,0,0.05,-0.3,
0.612,1.2782E-06,1.427E-07,0,0.05,-0.3,
0.63,1.5255E-06,9.18E-09,0,0.05,-0.3,
0.648,1.7984E-06,2.293E-07,0,0.05,-0.3,
0.666,2.0803E-06,-4.352E-07,0,0.05,-0.3,
0.684,2.3844E-06,-1.8756E-07,0,0.05,-0.3,
0.702,2.7123E-06,9.802E-08,0,0.05,-0.3,
0.72,3.0433E-06,-2.7688E-07,0,0.05,-0.3,
0.738,3.3877E-06,3.8808E-07,0,0.05,-0.3,
0.756,3.7344E-06,-4.796E-07,0,0.05,-0.3,
0.774,4.1001E-06,5.2396E-07,0,0.05,-0.3,
0.792,4.4618E-06,-2.67E-08,0,0.05,-0.3,
0.81,4.8362E-06,-3.9666E-07,0,0.05,-0.3,
0.828,5.2173E-06,4.1276E-07,0,0.05,-0.3,
0.846,5.5946E-06,-4.0674E-07,0,0.05,-0.3,
0.864,5.9738E-06,-3.32E-08,0,0.05,-0.3,
0.882,6.3673E-06,1.0196E-07,0,0.05,-0.3,
0.9,6.7532E-06,-3.7456E-07,0,0.05,-0.3,
0.918,7.1493E-06,3.9256E-07,0,0.05,-0.3,
0.936,7.5246E-06,-4.7704E-07,0,0.05,-0.3,
0.954,7.9246E-06,4.1066E-07,0,0.05,-0.3,
0.972,8.3104E-06,-4.8186E-07,0,0.05,-0.3,
0.99,8.6872E-06,6.38E-09,0,0.05,-0.3,
1.008,9.0678E-06,1.2698E-07,0,0.05,-0.3,
1.026,9.4539E-06,-3.4124E-07,0,0.05,-0.3,
1.044,9.8379E-06,4.5642E-07,0,0.05,-0.3,
1.062,1.02047E-05,-4.8928E-07,0,0.05,-0.3,
1.08,1.0576E-05,4.7958E-07,0,0.05,-0.3,
1.098,1.0952E-05,8.612E-08,0,0.05,-0.3,
1.116,1.1322E-05,-3.8578E-07,0,0.05,-0.3,
1.134,1.1682E-05,5.4028E-07,0,0.05,-0.3,
1.152,1.2054E-05,2.0806E-07,0,0.05,-0.3,
1.17,1.2396E-05,-1.908E-07,0,0.05,-0.3,
1.188,1.2734E-05,3.9514E-07,0,0.05,-0.3,
1.206,1.3096E-05,-4.8158E-07,0,0.05,-0.3,
1.224,1.3428E-05,1.15E-08,0,0.05,-0.3,
1.242,1.3774E-05,3.153E-07,0,0.05,-0.3,
1.26,1.412E-05,-3.9628E-07,0,0.05,-0.3,
1.278,1.4448E-05,4.449E-07,0,0.05,-0.3,
1.296,1.4768E-05,2.1612E-07,0,0.05,-0.3,
1.314,1.5078E-05,-2.1328E-07,0,0.05,-0.3,
1.332,1.5398E-05,3.921E-07,0,0.05,-0.3,
1.35,1.5716E-05,-4.801E-07,0,0.05,-0.3,
1.368,1.6022E-05,-4.381E-07,0,0.05,-0.3,
1.386,1.6322E-05,1.0138E-07,0,0.05,-0.3,
1.404,1.6634E-05,-3.5686E-07,0,0.05,-0.3,
1.422,1.6924E-05,4.2448E-07,0,0.05,-0.3,
1.44,1.7224E-05,5.2634E-07,0,0.05,-0.3,
1.458,1.75E-05,-6.756E-08,0,0.05,-0.3,
1.476,1.7788E-05,9.854E-08,0,0.05,-0.3,
1.494,1.8076E-05,-3.775E-07,0,0.05,-0.3,
1.512,1.8352E-05,5.199E-07,0,0.05,-0.3,
